Type	Question	Concepts	TRAPI	ARA/KP	Comments	Predicate	TRAPI-compatible	Not compatible BUT is something Translator should be able to answer	Not quite compatible but close	Biolink compatible	Very incompatible
summary	Which is the genetic cause for the development of Fanconi anemia complementation group D1?										
summary	What are the most frequent non-canonical sequence motifs at the donor and acceptor splice sites in vertebrates?										
summary	Why does cranberry juice help combat urinary tract infections?										
summary	What is the functionality of the Triplex R/bioconductor package?										
summary	What is transvection?										
summary	What is the role of probiotics in gastrointestinal disease?										
summary	What species is associated with Tetrodotoxin?										
summary	How do HBS1L-MYB intergenic variants regulate fetal hemoglobin?										
summary	What is the genetic basis of propionic acidemia?										
summary	What is the risk in G-CSF treatment for severe congenital neutropenia?										
summary	Which is the treatment strategy followed in spinocerebellar ataxia type 3 for CAG removal?										
summary	Where is the angiogenin binding element  located?										
summary	Which event results in the acetylation of S6K1?										
summary	What is protein carbamylation?										
summary	What is the role of Inn1 in cytokinesis?										
summary	What is the definition of minimal absent words?										
summary	What is the common feature in congenital central hypoventilation and Mowat-Wilson syndromes?										
summary	What symptoms characterize the Muenke syndrome?										
summary	How does dabigatran therapy affect aPTT in patients with atrial fibrillation?										
summary	What pharmacological and non-pharmacological interventions can be considered as prophylactic therapies in Cluster Headache patients?										
summary	How does phospholamban affect the biological activity of the calcium ATPase SERCA?										
summary	What is known about the Digit Ratio (2D:4D) cancer?										
summary	What do studies show about the effect of Induced hypothermia in premature babies?										
summary	Describe what is the advantage of using a stain free protein gel in a Western Blot experiment?										
summary	What states the second parity rule (PR2)?										
summary	Explain the concept proteostasis.										
summary	What is the association between adiponectin and migraine?										
summary	Which phenomenon is described as oncogene addiction?										
summary	What is the scope of the OMIA database?										
summary	What is the effect of methotrexate in treating uveitis due to juvenile idiopathic arthritis ?										
summary	What is HOCOMOCO?										
summary	What is the result of the interaction between TSC1 and PLK1?										
summary	What are the characteristics of the "Universal Proteomics Standard 2" (UPS2)?										
summary	What type of arrhythmia is known as bidirectional ventricular tachycardia (BDVT)?										
summary	Where does TORC1 sequester during heat stress?										
summary	What is the usefulness of ultraconserved elements in phylogeny?										
summary	Which are the characteristics of the Meier-Gorlin syndrome?										
summary	What is the role of Hsp90 inhibition in cancer therapy?										
summary	What is the mechanism of action of anticoagulant medication Dabigatran?										
summary	What is the function of the yeast protein Aft1?	SGD:S000003039									
summary	What is the role of mismatched uracil glycosylase (Mug) in DNA repair?										
summary	What is the effect of Allopurinol on asphyxia in neonates?										
summary	When is the protein NFL a biomarker?										
summary	How does thyroid  hormone  regulate  SR-Ca2+ ATPase  (SERCA) protein in the heart?										
summary	Which is the most well-accepted method for Down syndrome non-invasive prenatal diagnosis?										
summary	Elaborate on the association between Genomic Regulatory Blocks (GRBs) and target genes										
summary	Which therapeutic interventions for sarcopenia have been  applied										
summary	What is the genetic basis of progeria?										
summary	Describe July Effect.										
summary	Which are the main functions of the human HuR (ELAVL1) protein in fibroblasts?	HGNC:3312									
summary	What is the role played by mTOR in hypertrophic response and heart failure?										
summary	What is the mechanism of action of DNA topoisomerase II inhibitors?										
summary	what is the role of FGF-2 in cardiac regeneration after myocardial infarction?										
summary	What is Tn-seq?										
summary	Which is the most common genetic lesion among patients with Joubert Syndrome and a cerebello-oculo-renal phenotype?										
summary	How is CBX1/M31 related to position-effect variegation?										
summary	Describe the mechanism of action of aliskiren.										
summary	What is the role of photodynamic therapy for meningioma treatment?										
summary	What is the Arnold-Chiari syndrome?										
summary	What is the biological role of SERCA2 SUMOylation in cardiac physiology and pathophysiology, such as in heart failure?										
summary	What is known about MER41 repeat sequences?										
summary	How functional connectivity of the default mode network changes in patients with disorders of consciousness?										
summary	What is the pyroptotic pathway?										
summary	What is the function of the AtxA pleiotropic regulator?										
summary	What is evaluated with the Hydrocephalus Outcome Questionnaire?										
summary	What is known about maternal smoking and brain tumor risk?										
summary	Which metazaon species or taxa are known to lack selenoproteins										
summary	How are CpG island shores defined?										
summary	What is the role of edaravone in traumatic brain injury?										
summary	what is the role of erythropoietin in cardiac regeneration after myocardial infarction?										
summary	What are the hallmarks of congestive heart failure?										
summary	What is the reason for the narcolepsy cases developed after H1N1 influenza vaccination?										
summary	What is the mechanism of action of ocrelizumab for treatment of multiple sclerosis?										
summary	What are viral vectors used for in optogenetics?										
summary	Why graphics processing units (GPU) are more suitable for biological tasks than central processing units (CPU)?										
summary	What are the treatments of choice for GIST (gastrointestinal stromal tumor)?										
summary	What is the function of TALENs?										
summary	Show results of randomised controlled trials for certolizumab pegol.										
summary	What is the role of thyroid hormone receptor alpha1 in insulin secretion?										
summary	Which are the main features of CREST and other ALS-linked proteins?										
summary	What is the relationship between nucleosomes and exons?										
summary	What is DeepCAGE?										
summary	What are the Topological Domains (TADs)?										
summary	What is the vibrational theory of olfaction?										
summary	What is the application of the ASSET algorithm in C.elegans?										
summary	What are the pyknons?										
summary	Describe what is the usage of the Theatre software tool for genomic analysis.										
summary	How are CRM (cis-regulatory modules) defined?										
summary	What is oprozomib?										
summary	What is the mechanism of microRNA deregulation in carcinogenesis?										
summary	What is the role of venous angioplasty in multiple sclerosis?										
summary	Which type of cell death is known as anoikis?										
summary	What is Piebaldism?										
summary	What is the mechanism of action of APOBEC3G cytidine deaminase to inhibit HIV-1 replication?										
summary	What is ISMARA?										
summary	Where does TDP43 localize in ALS neurons?										
summary	What is the basis of the methodology of "functional class scoring" (FCS) for the analysis of gene expression data?										
summary	What is the Timothy syndrome?										
summary	Which is the underlying mechanism for exon skipping used to treat Duchenne muscular dystrophy?										
summary	What is the advantage of using long nano columns in proteomics?										
summary	What is the treatment of Riedel disease (thyroiditis)?										
summary	What is the evolutionary process described by the "Muller's ratchet" model?										
summary	What is the association between proBNP serum concentrations and stroke outcomes?										
summary	What is the effect that EZH2 has on chromatin?										
summary	What are the generic versions of Viagra										
summary	How could iPSCs be used for the treatment of diabetes?										
summary	What is Sotos syndrome?										
summary	What is the CRAPome database?										
summary	How is yellow fever virus transmitted?										
summary	How does TNF affect thyroid hormone receptors?										
summary	What is the effect of dovitinib on the cell cycle?										
summary	What is the involvement of PDGFRB in metastatic medulloblastoma?										
summary	What is known as Calcium Induced Calcium Release (CICR) and its role in cardiomyocyte contractility?										
summary	What is the action of molindone?										
summary	What is the function of the enzymes known as dual specificity phoshpatases (DUSPs)?										
summary	How are human accelerated regions (HAR) defined?										
summary	How are GRBs (Genomic Regulatory Blocks) defined?										
summary	What is STARR-seq?										
summary	What is the effect of ROS on cyclin B1?										
summary	Provide examples of how molecular transporters contribute to multi-drug resistance in bacteria.										
summary	What is the minimal genome build?										
summary	Describe Malgaigne fracture.										
summary	Define marine metaproteomics										
summary	What is GRO-seq?										
summary	What is the role of Caenorhabditis elegans Heterochromatin protein 1 (HPL-2) in development?										
summary	What are the pregnancy outcomes in rheumatoid arthritis?										
summary	What is DNAshape?										
summary	How are thyroid hormones involved in the development of diabetic cardiomyopathy?										
summary	How histone deacetylation causes transcriptional gene silencing?										
summary	What is the effect of SAHA treatment in Huntington's disease?										
summary	What is known about the role of mHealth in the prevention of disease?										
summary	How does ranolazine affect kinase signaling activation in the heart?										
summary	Which depression rating scales were shown to have acceptable psychometric properties for screening of poststroke depression?										
summary	What is the mechanism of action of  trichostatin A (TSA) as an antitumoral agent?										
summary	What is known as the cause of subacute thyroiditis?										
summary	Why can't humans synthesize Neu5Gc (N-Glycolylneuraminic acid)?										
summary	Elaborate on the TREAT-NMD initiative for DMD patients										
summary	What are the characteristics of Christianson syndrome?										
summary	What heterotachy states about molecular evolutionary processes?										
summary	What is known about depression in caregivers of brain tumor patients?										
summary	What are the effects of homozygosity of EDNRB mutations in addition to Hirschsprung disease?										
summary	Which is the major function of sororin?										
summary	What are piggyBAC transposons?										
summary	what is the role of GATA-4 in regeneration of the heart after myocardial infarction?										
summary	How does adrenergic signaling affect thyroid hormone receptors?										
summary	Which kinase is regulating stress granule biogenesis?										
summary	What is the association between cell phone use and glioblastoma?										
summary	What are the main characteristics of Catecholaminergic Polymorphic Ventricular Tachycardia (CPVT)?										
summary	what is the role of prostaglandins in cardiac regenaration after myocardial infarction?										
summary	What is the general function of H3K79 methylation?										
summary	Where can we find the protein dermcidin?										
summary	Describe Mozart effect.										
summary	What is the purpose of the Tokuhashi scoring system?										
summary	By which mechanism MutT proteins act against DNA lesions in bacteria?										
summary	What is the role of anhedonia in coronary disease patients?										
summary	What is  the clinical value of naltrexone in Parkinson's disease patients?										
summary	What is the efficacy of oxaliplatin monotherapy in the management of colorectal cancer?										
summary	Which is the molecular function of the protein CCDC40?	axoneme assembly; lung development; cilium movement									
summary	What is the role of  chromomethylases in plants?										
summary	What is Cerebral Cavernous Malformation?										
summary	How does Rif1 regulate DNA replication?										
summary	What is known about food intolerance and gluten ?										
summary	What is known about the effectiveness of electronic food diaries ?										
summary	Which biological process in known as Endoplasmic Reticulum-Associated Protein Degradation (ERAD)?										
summary	What is known about the economic cost of urinary incontinence?										
summary	What is known about diseases associated with mutations in the CHCHD10 gene?										
summary	Give examples of next-generation sequencing applications in mutation screening?										
summary	What is BioASQ?										
summary	What is the role of the histidine rich calcium binding protein (HRC) in cardiomyopathy?										
summary	What is the effect of amitriptyline in the mdx mouse model of Duchenne muscular dystrophy?										
summary	What is known about potential implication of thyroid hormone receptors in arterial hypertension?										
summary	What is the mechanism of action of abiraterone?										
summary	Do ephrins play a role in brain cancer?										
summary	What is the definition and the biological role of epithelial-mesenchymal transition (EMT)										
summary	What is smFISH?										
summary	What is the correlation between SPARC expression and growth inhibition in human cancer?										
summary	How does dronedarone affect thyroid hormone signaling in the heart?										
summary	What are the functions of the ESCRT machinery?										
summary	What is the role of TRH in hypertension?										
summary	What is the role of NETs in systemic lupus erythematosus?										
summary	What is known as Von Hippel–Lindau disease or syndrome?										
summary	Which mechanisms underlie adaptive mutagenesis (stationary-phase mutagenesis) in Bacillus subtilis?										
summary	Describe the usefulness of Macrostomum lignano in ion channel and stem cell research										
summary	What is the INSURE procedure in premature babies.										
summary	How thyrocyte destruction is induced in autoimmune thyroiditis?										
summary	What causes erucism?										
summary	How does Hst5 (histatin 5) affect infections by Candida glabrata?										
summary	Which is the localization of the RIFIN family of proteins?										
summary	What is the suggested clinical management of Fanconi anemia?										
summary	Describe Hot water reflex epilepsy.										
summary	Which is the mechanism used by bacteria to induce tumors in Arabidopsis?										
summary	What is the idea behind the fractal globule that has been proposed as a model of chromatin conformation in the nucleus of a cell?										
summary	What is SHAPE-Seq?										
summary	Describe the involvement of conserved noncoding sequences in the regulation of Hox genes.										
summary	Give an overview of visualizing genomes with oligopaint FISH probes.										
summary	What is Targeted Chromatin Capture (T2C)?										
summary	What are the reported adverse effects of topical minoxidil?										
summary	Describe Heyde syndrome.										
summary	What is the main biological function of the CRISPR-CAS9 genome editing system?										
summary	What is 2d 4d ratio in athletes.										
summary	What is the association between moon cycle and rupture risk of intracranial aneurysms?										
summary	What is the role of brain natriuretic peptide in traumatic brain injury patients ?										
summary	What is the association between NT-proBNP and cognitive function?										
summary	Is there any evidence of dysregulated long non coding RNAs and Alzheimer's disease?										
summary	What is known about type D personality trait in cancer patients?										
summary	what is the role of MEF-2 in cardiomyocyte differentiation?										
summary	What is the the Menzerath-Altmann law?										
summary	Describe the known functions for the prothymosin alpha c-terminal peptide?										
summary	What is the role of the Ada O6-alkylguanine alkyltransferase in bacteria?										
summary	Super-SILAC is a method used in quantitative proteomics. What is the super-SILAC mix? (SILAC: Stable Isotopic labelling by aminoacids in cell culture)										
summary	What is known about efficacy of the high dose intravenous ascorbate in the treatment of cancer patients?										
summary	What is ChiRP-seq (Chromatin Isolation by RNA Purification sequencing)?										
summary	What is the use of MammaPrint and Oncotype DX?										
summary	How can DUF families be deciphered?										
summary	What is the treatment of choice  for gastric lymphoma?										
summary	What are the applications of a Dermaroller ?										
summary	What is the mechanism of action of eprotirome?										
summary	What is the role of music therapy in coma patients.										
summary	What is GDF10?										
summary	Other than protein coding potential, what features set apart long non-coding RNAs from protein coding genes?										
summary	How does thyroid hormone affect insulin resistance in the heart?										
summary	Describe mechanism of action of PLX3397 drug.										
summary	Which deficiency is the cause of restless leg syndrome										
summary	Describe clinical presentation of Parkinsonism with dementia of Guadeloupe syndrome.										
summary	Describe armoured brain syndrome.										
summary	What is the role of Thyrotropin Releasing Hormone in the treatment of comatose patients?										
summary	What are the signatures of aggressive periodontitis?										
summary	What is the principle of ATAC (Assay for Transposase-Accessible Chromatin) technique?										
summary	What is the genetic basis of progeria										
summary	What is the "Proteomic ruler"?										
summary	What is the mechanism by which HIV-1-encoded Vif protein allows virus replication?										
summary	What is the mechanism of cementogenesis in pulp regeneration?										
summary	What is the effect of ranolazine in diastolic heart failure?										
summary	Elaborate on the potential efficacy of gemcitabine for the treatment of recurrent, platinum-resistant epithelial ovarian cancer.										
summary	How does Foxa transcription factor exhibits its pioneering function?										
summary	Describe the isolation of transcription factor complexes by in vivo biotinylation tagging and direct binding to streptavidin beads, as applied for the case of the essential hematopoietic transcription factor GATA-1.										
summary	What are the molecular characteristics of the FAA (FANCA) cDNA?										
summary	What are the skeletal muscle satellite cells?										
summary	What is the role of neurogranin in Alzheimer's disease patients?	HGNC: 8000									
summary	What is the association between GERD and gluten ?										
summary	What is the use of emulsion PCR in Next Generation Sequencing?										
summary	What is the role of thyroid hormone in Stem cell differentiation?										
summary	What is the function of the MTH1 enzyme in cancer cells?	glucose membrane transport in other cells; signal transduction in other cells; don't know anything about cancer cells specifically (not in GO, at any rate)									
summary	What are the observations regarding telomere integrity and function in Fanconi anemia?										
summary	What is the role of the Tsix gene during X chromosome inactivation?										
summary	What is the advantage of neutral loss detection in phosphoproteomics?										
summary	What is the mechanism of drug-induced gingival overgrowth?										
summary	What is ceritinib?										
summary	What is the main mechanism by which human papillomavirus proteins E6 and E7 contribute to cell transformation?										
summary	What is the implication of histone lysine methylation in medulloblastoma?										
summary	What is the Orco protein in mosquitos?										
summary	What is the role of 5hmC (5 hydroxy-methyl-Cytocine) in differentiation?										
summary	What is CRISPRi?										
summary	How is mTORC1 involved in the regulation of heat stress?										
summary	What is the basic secondary structure of the variable domains of a typical antibody?										
summary	How does long-range epigenetic silencing (LRES) occur?										
summary	Under which conditions does AMPK phosphorylate TSC2?										
summary	What colonoscopy findings have been reported in autism										
summary	What is a disordered protein?										
summary	What is the catalytic mechanism of DNA (cytosine-5) methyltransferases?										
summary	What is the mechanism of action of geldanamycin?										
summary	What is the association between number of pregnancies and rheumatoid arthritis										
summary	How Flaviviridae family of viruses infects vertebrates?										
summary	What was the aim of the HAMLET clinical trial?										
summary	Can we use prodrug amifostine to protect healthy cell during chemotherapy?										
summary	What is the molecular pathogenesis of Spinal Muscular Atrophy?										
summary	Elaborate on the link between conserved noncoding elements (CNEs) and fractality.										
summary	What is known about the Kub5-Hera/RPRD1B interactome?										
summary	What is Desomorphine?										
summary	What is the result of Mff overexpression in mitochondria?										
summary	What is FFI, fatal familial insomnia										
summary	Elaborate on the role of CARMEN in cardiac specification.										
summary	What is the mechanism of action of peginesatide?										
summary	Describe mechanism of action of Eteplirsen?										
summary	What is the importance of Janus Kinases in dermatology?										
summary	What is the role of ZNF335 in microcephaly?										
summary	What are the exonic splice enhancers?										
summary	What are the birth defects associated with Zika-virus infection?										
summary	What is Neisseria adhesin A?										
summary	What causes Scurvy?										
summary	Describe clinical presentation of Ambras syndrome.										
summary	What is MINDY-1?										
summary	What is the benserazide's mechanism of function when co-administered with L-DOPA in patients with Parkinson's Disease?										
summary	What is regioneR?										
summary	What are reactive metabolites?										
summary	What is the "wearing-off" phenomenon in levodopa-treated patients with Parkinson's Disease?										
summary	What are prions?										
summary	What is sQTLseekeR?										
summary	What is Creutzfeldt-Jakob Disease (CJD)?										
summary	Describe what is athelia syndrome?										
summary	What is BioCreative?										
summary	What is Eteplirsen (Exondys 51)?										
summary	What are the SINEUPs?										
summary	What is the mechanism of action of raxibacumab?										
summary	What is the effect of CPEB3 binding to the CPE domain?										
summary	What is the Shelterin complex?										
summary	What are PD-1 inhibitors?										
summary	What do statins do?										
summary	What is Path2PPI?										
summary	What are some of the effects of Zika Virus in infected individuals?										
summary	What is the function of Oseltamivir when administered during flu?										
summary	What is the composition of the gamma-secretase complex?										
summary	What is the role of cohesins at the IFNG locus?										
summary	Describe Wellens' Syndrome.										
summary	What is the function of transthyretin in cerebrospinal fluid?	Unspecified tissue: thyroid hormone binding; purine nucleobase metabolic process									
summary	Where is the protein slitrk1 localized?										
summary	Describe clinical manifestation of the Harlequin syndrome.										
summary	What is the role of the constitutive photomorphogenesis 9 signalosome (CSN)?										
summary	What is Legg-Calvé-Perthes Disease										
summary	What is promoted by ERAP1-ERAP2 dimerization?										
summary	What is adhesive capsulitis										
summary	Describe the applicability of Semantic MediaWiki in the case of FANTOM5										
summary	What is the mechanism of action of Osimertinib?										
summary	What is Bartter syndrome?										
summary	What is the function of the Indian hedgehog protein in chondrocytes?										
summary	What is the major difference between eucaryotes and procaryotes?										
summary	What is the HSP70-HSP110 disaggregase machinery?										
summary	Describe the usefulness of MiRduplexSVM.										
summary	What kind of analyses are performed with the software tool "unipept"										
summary	What is "Epitranscriptome analysis"?										
summary	What is Bexsero?										
summary	What is the mechanism of action of the biguanide class of diabetes drugs?										
summary	Where is the proteasome located?										
summary	What is clinical presentation of the Gardner-Diamond syndrome?										
summary	Define lncRNA.										
summary	What are Septins?										
summary	What makes telomerase a good drug target?										
summary	What is DENdb?										
summary	What is the doRiNA database?										
summary	What is the connection between furin and hepcidin?										
summary	Which cells express CIDEC protein in humans?										
summary	What is the purpose of the Orpington Prognostic Scale?										
summary	What is the applicability of the MCAST algorithm?										
summary	What is the function of yeast Clr4 on chromatin?										
summary	What is the role of LIMT lncRNA?										
summary	What are Kupffer cells and what is their role?										
summary	What is known about saponins in crops and human consumption?										
summary	What is the role of histone variant H2A.W?										
summary	Which are the main brain dysfunctions caused by hyperbilirubinemia?										
summary	Describe clinical applications of the PIM2 scoring system.										
summary	Which disease is associated with mutations in SLC40A1 gene?	HGNC: 10909									
summary	Describe Exploding head syndrome.										
summary	Describe crowned dens syndrome.										
summary	How are looped genes identified in yest?										
summary	What is the function of the DGAT1 gene product?										
summary	What is the purpose of HaploReg v4?										
summary	What is Mondor's disease?										
summary	How are immediate early genes (IEG) defined?										
summary	What is the role of Laser Interstitial Thermal Therapy in glioma treatment?										
summary	What is known about telomere length shortening and stress?										
summary	What is LedPred?										
summary	What are Degrons?										
summary	What is the role of Lysine 2-hydroxyisobutyrylation?										
summary	What is REVIGO?										
summary	What is the mechanism of action of onartuzumab?										
summary	Which disease(s) are caused by HEX A deficiency?	HGNC: 4878									
summary	What is Behçet's disease										
summary	What is the link between Ctf4 and Chl1 in cohesion establishment?										
summary	How is primary intestinal lymphangiectasia (PIL) caused?										
summary	What are congenital disorders of glycosylation?										
summary	What is the function of the protein tafazzin?										
summary	What are assassin bugs?										
summary	Where are the unipolar brush cells localized?										
summary	What is DECKO?										
summary	What is a mimotope vaccine?										
summary	Describe clinical manifestation of the Mal de debarquement syndrome.										
summary	What is the mechanism of action of verubecestat?										
summary	How are triple negative gliomas characterized?										
summary	What is ectopia lentis?										
summary	What is the function of gasdermin D?										
summary	What is TOPAZ1?										
summary	What is the Genome 10K Project?										
summary	What is MIRA-seq?										
summary	How does Ssu72 mediate gene looping?										
summary	What is the role of peptide aptamers?										
summary	What is the Glasgow Coma score?										
summary	What is the mechanism of action of Pictilisib?										
